disparity,censor_rate,auc_mask,auc_mask_lo,auc_mask_hi,r2_within,r2_pooled,r2_loso,inflation,inflation_lo,inflation_hi
0.0,0.05,0.4992,0.4959,0.5007,0.2372,0.327,0.3115,0.0054,-0.0039,0.0094
0.05,0.0663,0.564,0.5613,0.5671,0.2392,0.3197,0.3212,0.0096,0.0019,0.0138
0.1,0.0827,0.6352,0.6304,0.637,0.2257,0.3213,0.3253,0.0008,-0.0049,0.0085
0.15,0.0987,0.691,0.6877,0.6933,0.2358,0.3225,0.315,0.0105,0.0038,0.0173
0.2,0.1155,0.7386,0.7369,0.7426,0.2496,0.3225,0.3105,0.0105,0.0016,0.0199
0.25,0.1311,0.7758,0.7737,0.7794,0.2287,0.3197,0.3022,0.0212,0.0099,0.0273
0.3,0.1467,0.8107,0.8058,0.8129,0.2481,0.3302,0.3128,0.0231,0.0146,0.028
0.35,0.1639,0.8428,0.8411,0.8454,0.2339,0.3107,0.2903,0.0301,0.021,0.0397
0.4,0.1801,0.8682,0.8645,0.8697,0.2371,0.315,0.2842,0.03,0.0174,0.0364
0.45,0.1978,0.8906,0.8877,0.893,0.2468,0.315,0.2748,0.0404,0.028,0.0464
0.5,0.2132,0.9095,0.9073,0.912,0.2469,0.3197,0.2534,0.0534,0.0448,0.0635
0.55,0.23,0.9268,0.9241,0.9276,0.2471,0.3295,0.2481,0.0613,0.0496,0.0749
0.6,0.243,0.9359,0.934,0.9375,0.2441,0.3242,0.2411,0.0631,0.0408,0.0778
0.65,0.2622,0.951,0.9482,0.9537,0.2388,0.3163,0.2486,0.058,0.0449,0.0763
0.7,0.2761,0.9623,0.9609,0.9633,0.2357,0.3124,0.1976,0.0915,0.0702,0.1116
0.75,0.291,0.9714,0.9698,0.9733,0.229,0.3249,0.2069,0.1059,0.0755,0.1543
0.8,0.3101,0.9778,0.9768,0.9797,0.241,0.3229,0.1286,0.1617,0.1153,0.2557
0.85,0.3266,0.9843,0.9818,0.9854,0.2578,0.3331,0.0408,0.2619,0.1417,0.3762
0.9,0.3436,0.9889,0.9881,0.9899,0.2334,0.3352,-0.0762,0.3871,0.2137,0.5274
0.95,0.3587,0.9927,0.9918,0.9931,0.2241,0.3231,-1.2502,1.5433,0.8855,2.4004
