target,lod_ratio,random,blocked,loso,inflation_random_minus_loso,regime,representation,is_primary_arm
Ag,33.333,-9.061,-10.1456,-20.0896,11.0286,substitution,ilr,True
As,1.5,0.7232,0.6967,0.1135,0.6097,substitution,ilr,True
Be,22.0,0.2178,0.1346,-0.3761,0.5939,substitution,ilr,True
Bi,2.0,0.6903,0.6354,0.3186,0.3717,substitution,ilr,True
Ca,7.143,0.8867,0.8615,0.5272,0.3594,substitution,ilr,True
Cd,1.0,0.3291,0.2311,-0.7716,1.1007,substitution,ilr,True
Ce,1.667,0.9322,0.9141,0.3672,0.565,substitution,ilr,True
Co,1.0,0.9249,0.91,0.6772,0.2477,substitution,ilr,True
Cr,2.0,0.8847,0.8546,0.5089,0.3758,substitution,ilr,True
Cs,50.0,-1.5788,-1.8021,-5.3779,3.7991,substitution,ilr,True
Cu,2.5,0.7366,0.6678,0.1293,0.6073,substitution,ilr,True
Fe,1.0,0.9074,0.8637,0.667,0.2404,substitution,ilr,True
Hg,1.0,0.4776,0.3844,-0.3625,0.8401,substitution,ilr,True
In,6.667,0.5409,0.4722,-0.783,1.3239,substitution,ilr,True
K,2.381,0.9608,0.9582,0.7018,0.259,substitution,ilr,True
La,5.0,0.9307,0.9217,0.5628,0.3679,substitution,ilr,True
Li,10.0,0.8592,0.8383,-0.2627,1.1219,substitution,ilr,True
Mg,1.667,0.9053,0.8784,0.6052,0.3001,substitution,ilr,True
Mn,7.8,0.7841,0.7378,0.4709,0.3133,substitution,ilr,True
Mo,6.0,0.492,0.3972,-0.2766,0.7687,substitution,ilr,True
Na,1.351,0.8839,0.843,-1.0105,1.8944,substitution,ilr,True
Nb,3.333,0.95,0.9446,-0.4059,1.3559,substitution,ilr,True
Ni,1.0,0.9054,0.8954,0.5909,0.3146,substitution,ilr,True
P,2.273,0.7686,0.7241,-0.2457,1.0143,substitution,ilr,True
Pb,5.0,0.7666,0.6963,0.1183,0.6483,substitution,ilr,True
Rb,1.0,0.9516,0.9407,0.6906,0.2609,substitution,ilr,True
S,20.0,0.525,0.4416,0.0032,0.5218,substitution,ilr,True
Sb,8.0,0.0832,-0.0369,-1.7225,1.8056,substitution,ilr,True
Sc,3.0,0.9507,0.9431,0.6617,0.2889,substitution,ilr,True
Se,20.0,0.1025,0.0394,-3.9844,4.0869,substitution,ilr,True
Sn,2.0,0.7148,0.6763,0.2807,0.4341,substitution,ilr,True
Sr,2.5,0.9231,0.9002,0.702,0.2211,substitution,ilr,True
Te,5.0,-3.4603,-4.8964,-5.1289,1.6686,substitution,ilr,True
Th,10.0,0.9075,0.8836,0.2336,0.6739,substitution,ilr,True
Tl,5.0,0.7879,0.7784,-6.0928,6.8806,substitution,ilr,True
U,5.0,0.8199,0.8008,0.3681,0.4518,substitution,ilr,True
V,10.0,0.9255,0.9101,0.7323,0.1932,substitution,ilr,True
W,10.0,0.7229,0.6857,-1.4242,2.1471,substitution,ilr,True
Zn,1.111,0.857,0.8351,0.0832,0.7738,substitution,ilr,True
