regime,representation,model,protocol,n_elements,r2_median,ci_low,ci_high,arm
common_floor,ilr,xgb_regression,blocked,44,0.8334,0.6913,0.8885,common_floor / ILR
common_floor,ilr,xgb_regression,loso,44,0.424,0.1995,0.5798,common_floor / ILR
common_floor,ilr,xgb_regression,random,44,0.8586,0.7428,0.9094,common_floor / ILR
mask_feature,ilr,xgb_regression,blocked,44,0.8376,0.6987,0.8841,mask_feature / ILR
mask_feature,ilr,xgb_regression,loso,44,0.1566,-0.1729,0.4196,mask_feature / ILR
mask_feature,ilr,xgb_regression,random,44,0.8593,0.7499,0.9079,mask_feature / ILR
substitution,clr,xgb_regression,blocked,44,0.8444,0.7128,0.8945,substitution / CLR
substitution,clr,xgb_regression,loso,44,0.1997,-0.2835,0.3421,substitution / CLR
substitution,clr,xgb_regression,random,44,0.8674,0.7557,0.9129,substitution / CLR
substitution,ilr,xgb_regression,blocked,44,0.8367,0.6965,0.881,substitution / ILR
substitution,ilr,xgb_regression,loso,44,0.1815,-0.2427,0.419,substitution / ILR
substitution,ilr,xgb_regression,random,44,0.8581,0.7459,0.9064,substitution / ILR
substitution,raw,xgb_regression,blocked,44,0.8484,0.7378,0.9097,substitution / RAW
substitution,raw,xgb_regression,loso,44,0.4604,0.1644,0.63,substitution / RAW
substitution,raw,xgb_regression,random,44,0.8756,0.7704,0.9264,substitution / RAW
