element,source_column,spike_value,lod_recovered,share_at_spike,repeats_at_spike,runner_up_repeats,dominance_ratio,values_below_spike,verified_against_published_lod
Au,AU,0.0001,0.0002,0.1538,325,2,162.5,0,PENDING
B,B,0.25,0.5,0.0743,157,1,157.0,0,PENDING
Be,BE,0.025,0.05,0.018,38,1,38.0,0,PENDING
Ge,GE,0.01,0.02,0.2556,540,1,540.0,0,PENDING
Hf,HF,0.005,0.01,0.1557,329,1,329.0,0,PENDING
In,IN_,0.0015,0.003,0.0379,80,2,40.0,0,PENDING
Pd,PD,0.0005,0.001,0.5925,1252,1,1252.0,0,PENDING
Pt,PT,0.0005,0.001,0.6933,1465,2,732.5,0,PENDING
Re,RE,0.00025,0.0005,0.7662,1619,2,809.5,0,PENDING
S,S,2.5,5.0,0.0128,27,1,27.0,0,PENDING
Se,SE,0.025,0.05,0.0222,47,2,23.5,0,PENDING
Ta,TA,0.0025,0.005,0.9337,1973,1,1973.0,0,PENDING
Te,TE,0.01,0.02,0.5547,1172,1,1172.0,0,PENDING
W,W,0.005,0.01,0.0166,35,1,35.0,0,PENDING
Zr,ZR,0.05,0.1,0.0241,51,1,51.0,0,PENDING
