element,NASGL_lod,NASGL_censored_pct,NGSA_lod,NGSA_censored_pct,GEMAS_lod,GEMAS_censored_pct,lod_ratio_max_min
Ag,1.0,98.806,0.03,99.163,,0.0,33.333
Al,,0.0,26.0,0.0,,0.0,
As,0.6,1.379,0.4,3.954,,0.0,1.5
Ba,,0.0,0.5,0.0,,0.0,
Be,0.1,1.832,1.1,43.118,0.05,1.798,22.0
Bi,0.04,2.429,0.02,4.259,,0.0,2.0
Ca,100.0,1.174,14.0,0.0,,0.0,7.143
Cd,0.1,23.595,0.1,69.658,,0.0,1.0
Ce,0.05,0.041,0.03,0.0,,0.0,1.667
Co,0.1,0.7,0.1,0.152,,0.0,1.0
Cr,1.0,0.247,0.5,0.0,,0.0,2.0
Cs,5.0,81.161,0.1,0.684,,0.0,50.0
Cu,0.5,0.082,0.2,1.217,,0.0,2.5
Fe,100.0,0.124,100.0,0.076,,0.0,1.0
Ga,,0.0,0.1,0.228,,0.0,
Hg,0.01,7.947,0.01,35.97,,0.0,1.0
In,0.02,20.939,0.02,64.183,0.003,3.786,6.667
K,100.0,0.535,42.0,0.152,,0.0,2.381
La,0.5,0.082,0.1,0.0,,0.0,5.0
Li,1.0,0.268,0.1,0.76,,0.0,10.0
Mg,100.0,0.844,60.0,3.042,,0.0,1.667
Mn,5.0,0.288,39.0,5.171,,0.0,7.8
Mo,0.05,0.144,0.3,17.262,,0.0,6.0
Na,100.0,3.747,74.0,2.738,,0.0,1.351
Nb,0.1,0.021,0.03,0.152,,0.0,3.333
Ni,0.5,0.185,0.5,0.304,,0.0,1.0
P,50.0,0.865,22.0,0.0,,0.0,2.273
Pb,0.5,0.021,0.1,0.0,,0.0,5.0
Rb,0.2,0.288,0.2,0.228,,0.0,1.0
S,100.0,12.003,10.0,0.0,5.0,1.278,20.0
Sb,0.05,0.515,0.4,70.19,,0.0,8.0
Sc,0.1,0.206,0.3,0.38,,0.0,3.0
Se,0.2,43.566,0.01,3.27,0.05,2.224,20.0
Sn,0.1,0.124,0.2,4.03,,0.0,2.0
Sr,0.5,0.041,0.2,0.0,,0.0,2.5
Te,0.1,95.841,0.02,39.848,0.02,55.466,5.0
Th,0.2,0.124,0.02,0.0,,0.0,10.0
Ti,,0.0,30.0,0.0,,0.0,
Tl,0.1,5.683,0.02,7.985,,0.0,5.0
U,0.1,0.124,0.02,0.0,,0.0,5.0
V,1.0,0.206,0.1,0.076,,0.0,10.0
W,0.1,1.256,0.1,4.715,0.01,1.656,10.0
Y,,0.0,0.05,0.0,,0.0,
Zn,1.0,0.124,0.9,2.053,,0.0,1.111
