element,method_a,method_b,lod_a,lod_b,lod_ratio,n_rows,n_censored_a,n_censored_b,n_a_censored_b_measured,n_b_censored_a_measured,n_discordant,discordant_pct,n_both_measured,n_agreement_global,spearman_rho_global,median_log10_ratio_global,n_agreement_near_limit,spearman_rho,median_log10_ratio,comparable,n_below_censoring_lod,n_above_censoring_lod,threshold_consistent_pct,median_value_over_lod,directionality
Ag,AR,ICP-MS,0.002,0.03,15.0,1315,309,1304,1,995,996,75.741,8,8,,,2,,,False,743,253,74.6,0.567,0.999
Ag,AR,MMI-ME,0.002,0.001,2.0,1315,309,133,244,67,311,23.65,937,937,0.343,-0.426,475,0.241,-0.368,False,49,262,15.76,2.5,0.785
Ag,ICP-MS,MMI-ME,0.03,0.001,30.0,1315,1304,133,1172,1,1173,89.202,8,8,,,2,,,False,1080,93,92.07,0.2,0.999
Al,AR,MMI-ME,100.0,1.0,100.0,1315,0,35,0,35,35,2.662,1277,1277,0.049,-2.908,10,,,False,0,35,0.0,2800.0,1.0
Al,AR,XRF,100.0,26.0,3.846,1315,0,0,0,0,0,0.0,1311,1311,0.795,0.591,2,,,False,0,0,,,
Al,MMI-ME,XRF,1.0,26.0,26.0,1315,35,0,35,0,35,2.662,1278,1278,0.08,3.501,0,,,False,0,35,0.0,17366.0,1.0
As,AR,ICP-MS,0.1,0.4,4.0,1315,52,52,38,38,76,5.779,1222,1222,0.795,0.222,798,0.542,0.255,False,13,63,17.11,4.875,0.5
As,AR,MMI-ME,0.1,0.01,10.0,1315,52,938,10,895,905,68.821,366,366,0.16,-2.159,66,0.081,-1.602,False,10,895,1.1,150.0,0.989
As,ICP-MS,MMI-ME,0.4,0.01,40.0,1315,52,938,9,894,903,68.669,367,367,0.147,-2.398,8,,,False,9,894,1.0,280.0,0.99
Au,AR,FA,0.0001,0.001,10.0,1315,239,184,211,155,366,27.833,911,911,0.389,0.222,881,0.349,0.222,False,126,240,34.43,10.0,0.577
Au,AR,MMI-ME,0.0001,0.0001,1.0,1315,239,407,136,303,439,33.384,768,768,0.344,-0.336,435,0.133,-0.204,False,0,439,0.0,4.0,0.69
Au,FA,MMI-ME,0.001,0.0001,10.0,1315,184,407,113,334,447,33.992,791,791,0.4,-0.602,770,0.377,-0.602,False,112,335,25.06,10.0,0.747
