element,lod_NASGL,lod_NGSA,lod_GEMAS,censored_pct_NASGL,censored_pct_NGSA,censored_pct_GEMAS,lowest_lod_survey,highest_lod_survey,lod_ratio,surveys_compared,divergent
Cs,5.0,0.1,,81.161,0.684,0.0,NGSA,NASGL,50.0,2,True
Ag,1.0,0.03,,98.806,99.163,0.0,NGSA,NASGL,33.333,2,True
Be,0.1,1.1,0.05,1.832,43.118,1.798,GEMAS,NGSA,22.0,3,True
Se,0.2,0.01,0.05,43.566,3.27,2.224,NGSA,NASGL,20.0,3,True
S,100.0,10.0,5.0,12.003,0.0,1.278,GEMAS,NASGL,20.0,3,True
W,0.1,0.1,0.01,1.256,4.715,1.656,GEMAS,NASGL,10.0,3,True
V,1.0,0.1,,0.206,0.076,0.0,NGSA,NASGL,10.0,2,True
Th,0.2,0.02,,0.124,0.0,0.0,NGSA,NASGL,10.0,2,True
Li,1.0,0.1,,0.268,0.76,0.0,NGSA,NASGL,10.0,2,True
Sb,0.05,0.4,,0.515,70.19,0.0,NASGL,NGSA,8.0,2,True
Mn,5.0,39.0,,0.288,5.171,0.0,NASGL,NGSA,7.8,2,True
Ca,100.0,14.0,,1.174,0.0,0.0,NGSA,NASGL,7.143,2,True
In,0.02,0.02,0.003,20.939,64.183,3.786,GEMAS,NASGL,6.667,3,True
Mo,0.05,0.3,,0.144,17.262,0.0,NASGL,NGSA,6.0,2,True
Pb,0.5,0.1,,0.021,0.0,0.0,NGSA,NASGL,5.0,2,True
U,0.1,0.02,,0.124,0.0,0.0,NGSA,NASGL,5.0,2,True
Tl,0.1,0.02,,5.683,7.985,0.0,NGSA,NASGL,5.0,2,True
Te,0.1,0.02,0.02,95.841,39.848,55.466,NGSA,NASGL,5.0,3,True
La,0.5,0.1,,0.082,0.0,0.0,NGSA,NASGL,5.0,2,True
Nb,0.1,0.03,,0.021,0.152,0.0,NGSA,NASGL,3.333,2,True
Sc,0.1,0.3,,0.206,0.38,0.0,NASGL,NGSA,3.0,2,True
Cu,0.5,0.2,,0.082,1.217,0.0,NGSA,NASGL,2.5,2,True
Sr,0.5,0.2,,0.041,0.0,0.0,NGSA,NASGL,2.5,2,True
K,100.0,42.0,,0.535,0.152,0.0,NGSA,NASGL,2.381,2,True
P,50.0,22.0,,0.865,0.0,0.0,NGSA,NASGL,2.273,2,True
Cr,1.0,0.5,,0.247,0.0,0.0,NGSA,NASGL,2.0,2,True
Sn,0.1,0.2,,0.124,4.03,0.0,NASGL,NGSA,2.0,2,True
Bi,0.04,0.02,,2.429,4.259,0.0,NGSA,NASGL,2.0,2,True
Ce,0.05,0.03,,0.041,0.0,0.0,NGSA,NASGL,1.667,2,False
Mg,100.0,60.0,,0.844,3.042,0.0,NGSA,NASGL,1.667,2,False
As,0.6,0.4,,1.379,3.954,0.0,NGSA,NASGL,1.5,2,False
Na,100.0,74.0,,3.747,2.738,0.0,NGSA,NASGL,1.351,2,False
Zn,1.0,0.9,,0.124,2.053,0.0,NGSA,NASGL,1.111,2,False
Rb,0.2,0.2,,0.288,0.228,0.0,NASGL,NASGL,1.0,2,False
Ni,0.5,0.5,,0.185,0.304,0.0,NASGL,NASGL,1.0,2,False
Co,0.1,0.1,,0.7,0.152,0.0,NASGL,NASGL,1.0,2,False
Fe,100.0,100.0,,0.124,0.076,0.0,NASGL,NASGL,1.0,2,False
Hg,0.01,0.01,,7.947,35.97,0.0,NASGL,NASGL,1.0,2,False
Cd,0.1,0.1,,23.595,69.658,0.0,NASGL,NASGL,1.0,2,False
