survey,element,n_rows,n_measured,n_censored,n_missing,censored_pct,lod,lod_distinct_values,min_measured,median_measured,flag_convention
NASGL,Ag,4857,14,4799,44,98.806,1.0,1,1.0,2.5,"reported as ""<value""; limit read from the flag"
NASGL,Al,4857,4813,0,44,0.0,,0,100.0,47100.0,"reported as ""<value""; limit read from the flag"
NASGL,As,4857,4746,67,44,1.379,0.6,1,0.6,5.3,"reported as ""<value""; limit read from the flag"
NASGL,Ba,4857,4813,0,44,0.0,,0,6.0,513.0,"reported as ""<value""; limit read from the flag"
NASGL,Be,4857,4724,89,44,1.832,0.1,1,0.1,1.3,"reported as ""<value""; limit read from the flag"
NASGL,Bi,4857,4695,118,44,2.429,0.04,1,0.04,0.17,"reported as ""<value""; limit read from the flag"
NASGL,Ca,4857,4756,57,44,1.174,100.0,1,100.0,7500.0,"reported as ""<value""; limit read from the flag"
NASGL,Cd,4857,3667,1146,44,23.595,0.1,1,0.1,0.2,"reported as ""<value""; limit read from the flag"
NASGL,Ce,4857,4811,2,44,0.041,0.05,1,0.75,51.7,"reported as ""<value""; limit read from the flag"
NASGL,Co,4857,4779,34,44,0.7,0.1,1,0.1,7.8,"reported as ""<value""; limit read from the flag"
NASGL,Cr,4857,4801,12,44,0.247,1.0,1,1.0,31.0,"reported as ""<value""; limit read from the flag"
NASGL,Cs,4857,871,3942,44,81.161,5.0,1,5.0,6.0,"reported as ""<value""; limit read from the flag"
NASGL,Cu,4857,4809,4,44,0.082,0.5,1,0.6,14.9,"reported as ""<value""; limit read from the flag"
NASGL,Fe,4857,4807,6,44,0.124,100.0,1,100.0,19900.0,"reported as ""<value""; limit read from the flag"
NASGL,Ga,4857,4813,0,44,0.0,,0,0.08,11.2,"reported as ""<value""; limit read from the flag"
NASGL,Hg,4857,4427,386,44,7.947,0.01,1,0.01,0.02,"reported as ""<value""; limit read from the flag"
NASGL,In,4857,3796,1017,44,20.939,0.02,1,0.02,0.04,"reported as ""<value""; limit read from the flag"
NASGL,K,4857,4787,26,44,0.535,100.0,1,100.0,15000.0,"reported as ""<value""; limit read from the flag"
NASGL,La,4857,4809,4,44,0.082,0.5,1,0.5,25.7,"reported as ""<value""; limit read from the flag"
NASGL,Li,4857,4800,13,44,0.268,1.0,1,1.0,20.0,"reported as ""<value""; limit read from the flag"
NASGL,Mg,4857,4772,41,44,0.844,100.0,1,100.0,4600.0,"reported as ""<value""; limit read from the flag"
NASGL,Mn,4857,4799,14,44,0.288,5.0,1,5.0,499.0,"reported as ""<value""; limit read from the flag"
NASGL,Mo,4857,4806,7,44,0.144,0.05,1,0.07,0.78,"reported as ""<value""; limit read from the flag"
NASGL,Na,4857,4631,182,44,3.747,100.0,1,100.0,7200.0,"reported as ""<value""; limit read from the flag"
NASGL,Nb,4857,4812,1,44,0.021,0.1,1,0.1,8.6,"reported as ""<value""; limit read from the flag"
NASGL,Ni,4857,4804,9,44,0.185,0.5,1,0.5,13.9,"reported as ""<value""; limit read from the flag"
NASGL,P,4857,4771,42,44,0.865,50.0,1,50.0,550.0,"reported as ""<value""; limit read from the flag"
NASGL,Pb,4857,4812,1,44,0.021,0.5,1,0.8,17.8,"reported as ""<value""; limit read from the flag"
NASGL,Rb,4857,4799,14,44,0.288,0.2,1,0.2,65.8,"reported as ""<value""; limit read from the flag"
NASGL,S,4857,4230,583,44,12.003,100.0,1,100.0,300.0,"reported as ""<value""; limit read from the flag"
NASGL,Sb,4857,4788,25,44,0.515,0.05,1,0.05,0.57,"reported as ""<value""; limit read from the flag"
NASGL,Sc,4857,4803,10,44,0.206,0.1,1,0.1,6.1,"reported as ""<value""; limit read from the flag"
NASGL,Se,4857,2697,2116,44,43.566,0.2,1,0.2,0.4,"reported as ""<value""; limit read from the flag"
NASGL,Sn,4857,4807,6,44,0.124,0.1,1,0.1,1.3,"reported as ""<value""; limit read from the flag"
NASGL,Sr,4857,4811,2,44,0.041,0.5,1,0.7,122.0,"reported as ""<value""; limit read from the flag"
NASGL,Te,4857,158,4655,44,95.841,0.1,1,0.1,0.1,"reported as ""<value""; limit read from the flag"
NASGL,Th,4857,4807,6,44,0.124,0.2,1,0.2,7.7,"reported as ""<value""; limit read from the flag"
NASGL,Ti,4857,4813,0,44,0.0,,0,100.0,2400.0,"reported as ""<value""; limit read from the flag"
NASGL,Tl,4857,4537,276,44,5.683,0.1,1,0.1,0.4,"reported as ""<value""; limit read from the flag"
NASGL,U,4857,4807,6,44,0.124,0.1,1,0.1,2.0,"reported as ""<value""; limit read from the flag"
NASGL,V,4857,4803,10,44,0.206,1.0,1,1.0,54.0,"reported as ""<value""; limit read from the flag"
NASGL,W,4857,4752,61,44,1.256,0.1,1,0.1,0.8,"reported as ""<value""; limit read from the flag"
NASGL,Y,4857,4813,0,44,0.0,,0,0.2,14.6,"reported as ""<value""; limit read from the flag"
NASGL,Zn,4857,4807,6,44,0.124,1.0,1,1.0,59.0,"reported as ""<value""; limit read from the flag"
NGSA,Ag,1315,9,1304,2,99.163,0.03,1,0.09,0.64,"reported as ""<value""; limit also declared in the column header"
NGSA,Al,1315,1313,0,2,0.0,26.0,1,879.0,42683.0,"reported as ""<value""; limit also declared in the column header"
NGSA,As,1315,1261,52,2,3.954,0.4,1,0.5,3.2,"reported as ""<value""; limit also declared in the column header"
NGSA,Au,1315,1125,184,6,13.992,0.001,1,0.001,0.001,"reported as ""<value""; limit also declared in the column header"
NGSA,B,1315,419,894,2,67.985,1.0,1,1.0,2.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Ba,1315,1313,0,2,0.0,0.5,1,3.6,315.1,"reported as ""<value""; limit also declared in the column header"
NGSA,Be,1315,746,567,2,43.118,1.1,1,1.1,1.7,"reported as ""<value""; limit also declared in the column header"
NGSA,Bi,1315,1257,56,2,4.259,0.02,1,0.02,0.18,"reported as ""<value""; limit also declared in the column header"
NGSA,Ca,1315,1313,0,2,0.0,14.0,1,229.0,3173.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Cd,1315,397,916,2,69.658,0.1,1,0.1,0.17,"reported as ""<value""; limit also declared in the column header"
NGSA,Ce,1315,1313,0,2,0.0,0.03,1,0.87,42.1,"reported as ""<value""; limit also declared in the column header"
NGSA,Co,1315,1311,2,2,0.152,0.1,1,0.2,8.3,"reported as ""<value""; limit also declared in the column header"
NGSA,Cr,1315,1313,0,2,0.0,0.5,1,4.8,48.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Cs,1315,1304,9,2,0.684,0.1,1,0.1,2.3,"reported as ""<value""; limit also declared in the column header"
NGSA,Cu,1315,1297,16,2,1.217,0.2,1,0.9,13.7,"reported as ""<value""; limit also declared in the column header"
NGSA,Fe,1315,1312,1,2,0.076,100.0,1,100.0,16350.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Ga,1315,1310,3,2,0.228,0.1,1,0.4,10.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Ge,1315,1292,21,2,1.597,0.04,1,0.2,0.5,"reported as ""<value""; limit also declared in the column header"
NGSA,Hf,1315,1313,0,2,0.0,0.04,1,0.05,7.81,"reported as ""<value""; limit also declared in the column header"
NGSA,Hg,1315,840,473,2,35.97,0.01,1,0.01,0.02,"reported as ""<value""; limit also declared in the column header"
NGSA,In,1315,469,844,2,64.183,0.02,1,0.02,0.03,"reported as ""<value""; limit also declared in the column header"
NGSA,K,1315,1311,2,2,0.152,42.0,1,125.0,9928.0,"reported as ""<value""; limit also declared in the column header"
NGSA,La,1315,1313,0,2,0.0,0.1,1,0.43,20.91,"reported as ""<value""; limit also declared in the column header"
NGSA,Li,1315,1303,10,2,0.76,0.1,1,0.1,5.6,"reported as ""<value""; limit also declared in the column header"
NGSA,Mg,1315,1273,40,2,3.042,60.0,1,60.0,3093.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Mn,1315,1245,68,2,5.171,39.0,1,46.0,356.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Mo,1315,1086,227,2,17.262,0.3,1,0.3,0.6,"reported as ""<value""; limit also declared in the column header"
NGSA,Na,1315,1277,36,2,2.738,74.0,1,74.0,2456.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Nb,1315,1311,2,2,0.152,0.03,1,0.6,8.5,"reported as ""<value""; limit also declared in the column header"
NGSA,Ni,1315,1309,4,2,0.304,0.5,1,2.5,15.3,"reported as ""<value""; limit also declared in the column header"
NGSA,P,1315,1313,0,2,0.0,22.0,1,52.0,266.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Pb,1315,1313,0,2,0.0,0.1,1,0.54,12.86,"reported as ""<value""; limit also declared in the column header"
NGSA,Pd,1315,409,900,6,68.441,0.001,1,0.001,0.001,"reported as ""<value""; limit also declared in the column header"
NGSA,Pt,1315,421,888,6,67.529,0.0005,1,0.0005,0.0006,"reported as ""<value""; limit also declared in the column header"
NGSA,Rb,1315,1310,3,2,0.228,0.2,1,0.2,51.7,"reported as ""<value""; limit also declared in the column header"
NGSA,S,1315,1313,0,2,0.0,10.0,1,18.0,150.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Sb,1315,390,923,2,70.19,0.4,1,0.8,1.2,"reported as ""<value""; limit also declared in the column header"
NGSA,Sc,1315,1308,5,2,0.38,0.3,1,0.7,7.6,"reported as ""<value""; limit also declared in the column header"
NGSA,Se,1315,1271,43,1,3.27,0.01,1,0.01,0.06,"reported as ""<value""; limit also declared in the column header"
NGSA,Sn,1315,1260,53,2,4.03,0.2,1,0.2,1.3,"reported as ""<value""; limit also declared in the column header"
NGSA,Sr,1315,1313,0,2,0.0,0.2,1,1.1,68.3,"reported as ""<value""; limit also declared in the column header"
NGSA,Ta,1315,1298,15,2,1.141,0.02,1,0.05,0.675,"reported as ""<value""; limit also declared in the column header"
NGSA,Te,1315,789,524,2,39.848,0.02,1,0.02,0.04,"reported as ""<value""; limit also declared in the column header"
NGSA,Th,1315,1313,0,2,0.0,0.02,1,0.18,7.89,"reported as ""<value""; limit also declared in the column header"
NGSA,Ti,1315,1313,0,2,0.0,30.0,1,108.0,3506.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Tl,1315,1208,105,2,7.985,0.02,1,0.02,0.09,"reported as ""<value""; limit also declared in the column header"
NGSA,U,1315,1313,0,2,0.0,0.02,1,0.12,1.73,"reported as ""<value""; limit also declared in the column header"
NGSA,V,1315,1312,1,2,0.076,0.1,1,1.2,54.65,"reported as ""<value""; limit also declared in the column header"
NGSA,W,1315,1251,62,2,4.715,0.1,1,0.1,1.0,"reported as ""<value""; limit also declared in the column header"
NGSA,Y,1315,1313,0,2,0.0,0.05,1,0.7,21.1,"reported as ""<value""; limit also declared in the column header"
NGSA,Zn,1315,1286,27,2,2.053,0.9,1,0.9,31.9,"reported as ""<value""; limit also declared in the column header"
NGSA,Zr,1315,1313,0,2,0.0,0.2,1,4.1,305.3,"reported as ""<value""; limit also declared in the column header"
GEMAS,Ag,2113,2108,0,5,0.0,,0,0.001,0.03764753,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Al,2113,2108,0,5,0.0,,0,328.7607905,10992.74902,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,As,2113,2108,0,5,0.0,,0,0.025,5.47795429,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Au,2113,1783,325,5,15.381,0.0002,1,0.00020255,0.00114603,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,B,2113,1951,157,5,7.43,0.5,1,0.50023654,2.67318232,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Ba,2113,2108,0,5,0.0,,0,2.649426,61.68215857,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Be,2113,2070,38,5,1.798,0.05,1,0.05010248,0.53110108,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Bi,2113,2108,0,5,0.0,,0,0.0025,0.16432304,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Ca,2113,2108,0,5,0.0,,0,50.0,3034.6095395,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Cd,2113,2108,0,5,0.0,,0,0.005,0.18100645,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Ce,2113,2108,0,5,0.0,,0,1.62251652,28.3759126,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Co,2113,2108,0,5,0.0,,0,0.05,7.4573748,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Cr,2113,2108,0,5,0.0,,0,0.39668902,20.19649954,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Cs,2113,2108,0,5,0.0,,0,0.02903213,1.07924207,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Cu,2113,2108,0,5,0.0,,0,0.29916656,14.5024587,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Fe,2113,2108,0,5,0.0,,0,392.4180349,17199.771115,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Ga,2113,2108,0,5,0.0,,0,0.14130411,3.42616827,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Ge,2113,1568,540,5,25.556,0.02,1,0.02002158,0.04670437,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Hf,2113,1779,329,5,15.57,0.01,1,0.0100422,0.06244434,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Hg,2113,2108,0,5,0.0,,0,0.0015,0.03002791,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,In,2113,2028,80,5,3.786,0.003,1,0.00302133,0.01820261,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,K,2113,2108,0,5,0.0,,0,40.37250771,1249.7685665,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,La,2113,2108,0,5,0.0,,0,1.00136782,14.34846597,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Li,2113,2108,0,5,0.0,,0,0.16066526,11.36837773,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Mg,2113,2108,0,5,0.0,,0,25.0,2860.3668035,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Mn,2113,2108,0,5,0.0,,0,1.62269444,444.86787965,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Mo,2113,2108,0,5,0.0,,0,0.02645175,0.41627011,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Na,2113,2108,0,5,0.0,,0,1.0,48.02778793,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Nb,2113,2108,0,5,0.0,,0,0.01,0.47566098,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Ni,2113,2108,0,5,0.0,,0,0.05,14.72033576,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,P,2113,2108,0,5,0.0,,0,24.07653052,652.848296,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Pb,2113,2108,0,5,0.0,,0,1.55256162,15.81245581,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Pd,2113,856,1252,5,59.252,0.001,1,0.00100036,0.00257898,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Pt,2113,643,1465,5,69.333,0.001,1,0.00100037,0.00154534,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Rb,2113,2108,0,5,0.0,,0,0.21385318,14.32552916,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
GEMAS,Re,2113,489,1619,5,76.621,0.0005,1,0.00050092,0.00081747,"no flag; substituted at LOD/2 before delivery, mask reconstructed"
