element,max_abs_coefficient,pooled_censoring_rate
Ag,6.624595486199711,0.7366324683162342
Cs,4.480958933903261,0.4768859384429692
Sb,3.0412248865098683,0.11442365721182861
Te,2.49114275295937,0.7665660832830417
In,2.0515005599711253,0.23427881713940857
Se,1.7397202176685131,0.2662643331321666
Cd,1.7333887737461706,0.24888352444176223
S,1.4777711739371855,0.07362703681351841
Hg,1.4255269743393122,0.10368135184067592
Mo,1.0477921579709844,0.02824381412190706
Be,0.8607900814517335,0.08376584188292094
W,0.7556658766355804,0.019070609535304768
Mn,0.6709093804925333,0.009897404948702474
Na,0.6248088417191261,0.026312613156306577
P,0.5314096143120614,0.005069402534701267
Co,0.5241939408637217,0.0043452021726010865
Sn,0.4484894361121151,0.00712130356065178
Cu,0.38526365100210125,0.0024140012070006035
Zn,0.3414079328177698,0.003983101991550996
Tl,0.33858034233303946,0.0459867229933615
Bi,0.3269089740971356,0.02100181050090525
Cr,0.2491160512492995,0.001448400724200362
K,0.24249168849939368,0.003379601689800845
Nb,0.2156082078070555,0.0003621001810500905
Ca,0.19989609498659708,0.00687990343995172
V,0.19852193700100287,0.001327700663850332
Mg,0.16501844006060457,0.009776704888352444
Fe,0.14378431035157846,0.0008449004224502112
Ga,0.12897617455420485,0.0003621001810500905
Th,0.101354515968533,0.000724200362100181
Ni,0.08716607319884735,0.0015691007845503922
U,0.08127653475833825,0.000724200362100181
La,0.0679301835506301,0.0004828002414001207
Sc,0.061501731929621356,0.0018105009052504525
Sr,0.06123443817803044,0.00024140012070006034
Pb,0.047835067982101735,0.00012070006035003017
Rb,0.03573006893369025,0.002051901025950513
As,0.0313035377100815,0.01436330718165359
Li,0.012698256848512769,0.002776101388050694
Ce,0.008662030889336054,0.00024140012070006034
Ti,0.0,0.0
Ba,0.0,0.0
Y,0.0,0.0
Al,0.0,0.0
