element,lod_NASGL,lod_NGSA,lod_GEMAS,common_floor,n_surveys_with_limit
Al,,26.0,,26.0,1
Fe,100.0,100.0,,100.0,2
Ca,100.0,14.0,,100.0,2
Mg,100.0,60.0,,100.0,2
Na,100.0,74.0,,100.0,2
K,100.0,42.0,,100.0,2
Ti,,30.0,,30.0,1
Mn,5.0,39.0,,39.0,2
P,50.0,22.0,,50.0,2
Li,1.0,0.1,,1.0,2
Be,0.1,1.1,0.05,1.1,3
Rb,0.2,0.2,,0.2,2
Cs,5.0,0.1,,5.0,2
Sr,0.5,0.2,,0.5,2
Ba,,0.5,,0.5,1
Sc,0.1,0.3,,0.3,2
Y,,0.05,,0.05,1
La,0.5,0.1,,0.5,2
Ce,0.05,0.03,,0.05,2
Nb,0.1,0.03,,0.1,2
Th,0.2,0.02,,0.2,2
U,0.1,0.02,,0.1,2
Ga,,0.1,,0.1,1
V,1.0,0.1,,1.0,2
Cr,1.0,0.5,,1.0,2
Co,0.1,0.1,,0.1,2
Ni,0.5,0.5,,0.5,2
Cu,0.5,0.2,,0.5,2
Zn,1.0,0.9,,1.0,2
Mo,0.05,0.3,,0.3,2
W,0.1,0.1,0.01,0.1,3
Ag,1.0,0.03,,1.0,2
As,0.6,0.4,,0.6,2
Bi,0.04,0.02,,0.04,2
Cd,0.1,0.1,,0.1,2
Hg,0.01,0.01,,0.01,2
In,0.02,0.02,0.003,0.02,3
Pb,0.5,0.1,,0.5,2
S,100.0,10.0,5.0,100.0,3
Sb,0.05,0.4,,0.4,2
Se,0.2,0.01,0.05,0.2,3
Sn,0.1,0.2,,0.2,2
Te,0.1,0.02,0.02,0.1,3
Tl,0.1,0.02,,0.1,2
