element,first_drop_at_uncertainty,last_drop_at_uncertainty,surveys_that_never_drop_it,diverges
In,0.035405,0.073333,0,True
Hg,0.036667,0.036667,1,True
Te,0.071342,0.166667,0,True
Se,0.116667,0.733333,0,True
W,0.143402,1.966667,0,True
Tl,0.173333,0.766667,1,True
Cd,0.306667,0.366667,1,True
Bi,0.326667,0.363333,1,True
Be,1.045535,3.033333,0,True
Mo,1.1,1.543333,1,True
Sb,1.123333,2.266667,1,True
Ag,1.27,4.666667,1,True
Sn,2.533333,2.566667,1,True
U,3.463333,3.966667,1,True
Cs,4.566667,10.333333,1,True
As,6.266667,10.4,1,True
Li,11.166667,39.666667,1,True
Sc,12.166667,15.1,1,True
Th,15.333333,15.793333,1,True
Co,15.566667,16.566667,1,True
Nb,16.99,17.166667,1,True
Ga,19.966667,19.966667,2,True
Pb,25.696667,35.433333,1,True
Cu,27.333333,29.633333,1,True
Ni,27.633333,30.433333,1,True
La,41.796667,51.233333,1,True
Y,42.183333,42.183333,2,True
Cr,61.666667,95.933333,1,True
Zn,63.5,117.666667,1,True
Ce,84.2,103.383333,1,True
Rb,103.333333,131.533333,1,True
V,107.666667,109.366667,1,True
Sr,136.533333,243.833333,1,True
S,295.666667,566.666667,0,True
P,524.666667,1083.333333,1,True
Ba,630.033333,630.033333,2,True
Mn,707.0,996.333333,1,True
Na,4872.333333,14366.666667,1,True
Mg,6166.0,9166.666667,1,True
Ca,6341.333333,14966.666667,1,True
Ti,7008.0,7008.0,2,True
K,19834.0,29966.666667,1,True
Fe,32766.666667,39766.666667,1,True
Al,85362.333333,85362.333333,2,True
