survey,element,median_measured,detection_limit,noise_s,signal_to_noise,uncertainty_that_drops_it,limit_known,retained
NASGL,Al,47100.0,,,inf,,False,True
NASGL,Fe,19900.0,100.0,33.3333,597.0,39766.6667,True,True
NASGL,Ca,7500.0,100.0,33.3333,225.0,14966.6667,True,True
NASGL,Mg,4600.0,100.0,33.3333,138.0,9166.6667,True,True
NASGL,Na,7200.0,100.0,33.3333,216.0,14366.6667,True,True
NASGL,K,15000.0,100.0,33.3333,450.0,29966.6667,True,True
NASGL,Ti,2400.0,,,inf,,False,True
NASGL,Mn,499.0,5.0,1.6667,299.4,996.3333,True,True
NASGL,P,550.0,50.0,16.6667,33.0,1083.3333,True,True
NASGL,Li,20.0,1.0,0.3333,60.0,39.6667,True,True
NASGL,Be,1.3,0.1,0.0333,39.0,2.5667,True,True
NASGL,Rb,65.8,0.2,0.0667,987.0,131.5333,True,True
NASGL,Cs,6.0,5.0,1.6667,3.6,10.3333,True,True
NASGL,Sr,122.0,0.5,0.1667,732.0,243.8333,True,True
NASGL,Ba,513.0,,,inf,,False,True
NASGL,Sc,6.1,0.1,0.0333,183.0,12.1667,True,True
NASGL,Y,14.6,,,inf,,False,True
NASGL,La,25.7,0.5,0.1667,154.2,51.2333,True,True
NASGL,Ce,51.7,0.05,0.0167,3102.0,103.3833,True,True
NASGL,Nb,8.6,0.1,0.0333,258.0,17.1667,True,True
NASGL,Th,7.7,0.2,0.0667,115.5,15.3333,True,True
NASGL,U,2.0,0.1,0.0333,60.0,3.9667,True,True
NASGL,Ga,11.2,,,inf,,False,True
NASGL,V,54.0,1.0,0.3333,162.0,107.6667,True,True
NASGL,Cr,31.0,1.0,0.3333,93.0,61.6667,True,True
NASGL,Co,7.8,0.1,0.0333,234.0,15.5667,True,True
NASGL,Ni,13.9,0.5,0.1667,83.4,27.6333,True,True
NASGL,Cu,14.9,0.5,0.1667,89.4,29.6333,True,True
NASGL,Zn,59.0,1.0,0.3333,177.0,117.6667,True,True
NASGL,Mo,0.78,0.05,0.0167,46.8,1.5433,True,True
NASGL,W,0.8,0.1,0.0333,24.0,1.5667,True,True
NASGL,Ag,2.5,1.0,0.3333,7.5,4.6667,True,True
NASGL,As,5.3,0.6,0.2,26.5,10.4,True,True
NASGL,Bi,0.17,0.04,0.0133,12.75,0.3267,True,True
NASGL,Cd,0.2,0.1,0.0333,6.0,0.3667,True,True
NASGL,Hg,0.02,0.01,0.0033,6.0,0.0367,True,True
NASGL,In,0.04,0.02,0.0067,6.0,0.0733,True,True
NASGL,Pb,17.8,0.5,0.1667,106.8,35.4333,True,True
NASGL,S,300.0,100.0,33.3333,9.0,566.6667,True,True
NASGL,Sb,0.57,0.05,0.0167,34.2,1.1233,True,True
NASGL,Se,0.4,0.2,0.0667,6.0,0.7333,True,True
NASGL,Sn,1.3,0.1,0.0333,39.0,2.5667,True,True
