target,regime,representation,model,n_features,r2_loso_median,r2_holdout_GEMAS,r2_holdout_NASGL,r2_holdout_NGSA,seconds_for_3_fits
Cu,substitution,raw,survey_mean,43,-0.010689280480831398,-0.0021,-0.0107,-0.0312,0.04
Cu,substitution,raw,coordinates_only,43,-1.1480535407346504,-0.677,-1.1481,-5.9685,0.49
Cu,substitution,raw,mask_density_only,43,0.10798106284580111,-0.5844,0.108,0.3463,0.01
Cu,substitution,raw,ridge,43,0.11722467262313874,0.1172,-0.8241,0.6633,0.02
Cu,substitution,raw,xgb_regression,43,0.5080521007906345,0.5081,0.5292,0.4931,3.28
Cu,substitution,clr,survey_mean,44,-0.010689280480831398,-0.0021,-0.0107,-0.0312,0.06
Cu,substitution,clr,coordinates_only,44,-1.1480535407346504,-0.677,-1.1481,-5.9685,0.55
Cu,substitution,clr,mask_density_only,44,0.10798106284580111,-0.5844,0.108,0.3463,0.01
Cu,substitution,clr,ridge,44,0.5025407728168887,0.5025,0.6096,0.321,0.02
Cu,substitution,clr,xgb_regression,44,0.2616280453265203,0.2616,0.4578,-0.8349,5.35
Cu,substitution,ilr,survey_mean,43,-0.010689280480831398,-0.0021,-0.0107,-0.0312,0.06
Cu,substitution,ilr,coordinates_only,43,-1.1480535407346504,-0.677,-1.1481,-5.9685,0.55
Cu,substitution,ilr,mask_density_only,43,0.10798106284580111,-0.5844,0.108,0.3463,0.01
Cu,substitution,ilr,ridge,43,0.5025407728168859,0.5025,0.6096,0.321,0.01
Cu,substitution,ilr,xgb_regression,43,0.12933019310124272,0.1293,0.5386,-0.4303,4.02
Cu,mask_feature,ilr,survey_mean,86,-0.010689280480831398,-0.0021,-0.0107,-0.0312,0.08
Cu,mask_feature,ilr,coordinates_only,86,-1.1480535407346504,-0.677,-1.1481,-5.9685,0.62
Cu,mask_feature,ilr,mask_density_only,86,0.10798106284580111,-0.5844,0.108,0.3463,0.01
Cu,mask_feature,ilr,ridge,86,-0.003898572785338894,0.2638,-2.3138,-0.0039,0.04
Cu,mask_feature,ilr,xgb_regression,86,0.06907981384505402,0.0691,0.4835,-0.1253,4.38
Cu,common_floor,ilr,survey_mean,43,-0.009594843738031322,-0.0018,-0.0096,-0.0312,0.11
Cu,common_floor,ilr,coordinates_only,43,-0.9188509353013923,-0.8669,-0.9189,-6.3375,0.59
Cu,common_floor,ilr,mask_density_only,43,0.1169582643189746,-0.5746,0.117,0.3463,0.01
Cu,common_floor,ilr,ridge,43,0.614635356928313,0.6146,0.5719,0.685,0.02
Cu,common_floor,ilr,xgb_regression,43,0.4505367089594333,0.3333,0.5114,0.4505,5.51
Cu,common_floor,ilr,xgb_aft,43,0.4383213669641016,0.2166,0.4383,0.4893,5.72
