target,fold,pct_inside_aoa,median_dissimilarity
Al,holdout_GEMAS,1.0,2.7401
Al,holdout_NASGL,55.87,1.585
Al,holdout_NGSA,13.19,2.1212
Fe,holdout_GEMAS,0.85,2.7726
Fe,holdout_NASGL,54.62,1.5918
Fe,holdout_NGSA,13.03,2.1206
Ca,holdout_GEMAS,0.47,2.8921
Ca,holdout_NASGL,58.34,1.5721
Ca,holdout_NGSA,12.73,2.1404
Mg,holdout_GEMAS,0.71,2.8279
Mg,holdout_NASGL,55.41,1.5908
Mg,holdout_NGSA,13.11,2.1349
Na,holdout_GEMAS,2.56,2.6359
Na,holdout_NASGL,56.26,1.5891
Na,holdout_NGSA,15.4,2.1094
K,holdout_GEMAS,1.0,2.7622
K,holdout_NASGL,55.41,1.592
K,holdout_NGSA,14.63,2.1193
Ti,holdout_GEMAS,0.62,2.6492
Ti,holdout_NASGL,53.4,1.597
Ti,holdout_NGSA,13.57,2.1168
Mn,holdout_GEMAS,0.52,2.8528
Mn,holdout_NASGL,54.37,1.6015
Mn,holdout_NGSA,12.58,2.1579
P,holdout_GEMAS,0.57,2.8099
P,holdout_NASGL,55.56,1.5975
P,holdout_NGSA,11.81,2.1574
Li,holdout_GEMAS,0.71,2.8179
Li,holdout_NASGL,55.52,1.5876
Li,holdout_NGSA,19.36,2.0285
Be,holdout_GEMAS,0.52,2.8218
Be,holdout_NASGL,54.1,1.6088
Be,holdout_NGSA,12.8,2.1231
Rb,holdout_GEMAS,0.57,2.8128
Rb,holdout_NASGL,52.96,1.6078
Rb,holdout_NGSA,12.8,2.1406
Cs,holdout_GEMAS,0.76,2.8077
Cs,holdout_NASGL,54.77,1.5897
Cs,holdout_NGSA,12.96,2.1253
Sr,holdout_GEMAS,0.62,2.8155
Sr,holdout_NASGL,56.24,1.5976
Sr,holdout_NGSA,12.04,2.1359
Sc,holdout_GEMAS,0.62,2.8315
Sc,holdout_NASGL,53.09,1.6012
Sc,holdout_NGSA,11.59,2.1364
Y,holdout_GEMAS,0.62,2.8233
Y,holdout_NASGL,54.48,1.5814
Y,holdout_NGSA,13.72,2.1202
La,holdout_GEMAS,0.85,2.8195
La,holdout_NASGL,53.6,1.6108
La,holdout_NGSA,10.9,2.1596
Ce,holdout_GEMAS,0.71,2.8267
Ce,holdout_NASGL,54.29,1.6131
Ce,holdout_NGSA,11.43,2.1529
Nb,holdout_GEMAS,0.76,2.5971
Nb,holdout_NASGL,56.29,1.5841
Nb,holdout_NGSA,14.25,2.1177
Th,holdout_GEMAS,0.76,2.7939
Th,holdout_NASGL,54.0,1.5994
Th,holdout_NGSA,12.73,2.134
U,holdout_GEMAS,0.62,2.8026
U,holdout_NASGL,52.77,1.607
U,holdout_NGSA,12.27,2.1343
Ga,holdout_GEMAS,0.66,2.8151
Ga,holdout_NASGL,52.52,1.6038
Ga,holdout_NGSA,12.73,2.1305
V,holdout_GEMAS,0.57,2.8146
V,holdout_NASGL,53.94,1.5962
V,holdout_NGSA,13.03,2.133
Cr,holdout_GEMAS,0.66,2.8282
Cr,holdout_NASGL,57.78,1.5729
Cr,holdout_NGSA,14.33,2.111
Co,holdout_GEMAS,0.62,2.8246
Co,holdout_NASGL,54.37,1.5991
Co,holdout_NGSA,12.88,2.1404
Ni,holdout_GEMAS,0.47,2.8114
Ni,holdout_NASGL,51.84,1.6029
Ni,holdout_NGSA,12.04,2.1497
Zn,holdout_GEMAS,0.43,2.8308
Zn,holdout_NASGL,52.98,1.5948
Zn,holdout_NGSA,11.59,2.135
Mo,holdout_GEMAS,0.62,2.8418
Mo,holdout_NASGL,56.26,1.5937
Mo,holdout_NGSA,12.88,2.1216
W,holdout_GEMAS,0.85,2.7872
W,holdout_NASGL,54.37,1.6012
W,holdout_NGSA,14.56,2.1034
As,holdout_GEMAS,0.38,2.8706
As,holdout_NASGL,50.9,1.6216
As,holdout_NGSA,5.11,2.2209
Bi,holdout_GEMAS,0.43,2.8753
Bi,holdout_NASGL,54.27,1.5945
Bi,holdout_NGSA,5.95,2.2062
Cd,holdout_GEMAS,0.57,2.8618
Cd,holdout_NASGL,57.43,1.5867
Cd,holdout_NGSA,15.02,2.1346
Hg,holdout_GEMAS,0.43,2.8721
Hg,holdout_NASGL,53.75,1.6221
Hg,holdout_NGSA,12.88,2.1426
In,holdout_GEMAS,0.66,2.8286
In,holdout_NASGL,53.56,1.6055
In,holdout_NGSA,14.18,2.1222
Pb,holdout_GEMAS,0.57,2.8206
Pb,holdout_NASGL,54.58,1.5928
Pb,holdout_NGSA,14.1,2.1252
S,holdout_GEMAS,0.47,2.8519
S,holdout_NASGL,55.52,1.5926
S,holdout_NGSA,12.8,2.1424
Sb,holdout_GEMAS,0.57,2.812
Sb,holdout_NASGL,55.16,1.6079
Sb,holdout_NGSA,15.4,2.0998
Se,holdout_GEMAS,0.57,2.8315
Se,holdout_NASGL,54.52,1.6027
Se,holdout_NGSA,11.74,2.1579
Sn,holdout_GEMAS,0.57,2.8126
Sn,holdout_NASGL,56.37,1.5885
Sn,holdout_NGSA,14.94,2.1072
Te,holdout_GEMAS,0.66,2.8298
Te,holdout_NASGL,50.84,1.6464
Te,holdout_NGSA,14.33,2.1112
Tl,holdout_GEMAS,0.62,2.8069
Tl,holdout_NASGL,59.09,1.5584
Tl,holdout_NGSA,17.38,2.0676
