regime,representation,model,n_elements,inflation_median,ci_low,ci_high,blocking_recovers_median,blocking_ci_low,blocking_ci_high
common_floor,ilr,ridge,44,0.2669,0.1275,0.3337,0.0112,0.0072,0.0143
substitution,raw,xgb_regression,44,0.3659,0.2487,0.6351,0.0222,0.0169,0.0333
common_floor,ilr,xgb_regression,44,0.3737,0.2931,0.5721,0.0277,0.0183,0.0372
common_floor,ilr,xgb_aft,44,0.4081,0.3331,0.7306,0.0322,0.0198,0.0458
substitution,ilr,ridge,44,0.4116,0.3133,0.5033,0.0155,0.0103,0.0259
substitution,clr,ridge,44,0.4116,0.3241,0.5033,0.0155,0.0103,0.0258
substitution,ilr,xgb_regression,44,0.5891,0.4145,0.7713,0.0267,0.021,0.0441
mask_feature,ilr,xgb_regression,44,0.6297,0.4561,0.8847,0.0306,0.0189,0.0426
substitution,clr,xgb_regression,44,0.6299,0.5344,0.8384,0.0249,0.0188,0.0364
substitution,raw,ridge,44,0.6533,0.4309,0.895,0.0275,0.0185,0.0424
common_floor,none,survey_mean,44,0.7398,0.3846,1.4517,0.0073,-0.0062,0.017
common_floor,none,mask_density_only,44,0.8063,0.4411,1.2275,0.0228,0.0133,0.0367
substitution,none,survey_mean,44,0.85,0.3846,1.5004,0.006,-0.0048,0.0198
mask_feature,none,survey_mean,44,0.85,0.3846,1.5176,0.006,-0.0037,0.0198
mask_feature,ilr,ridge,44,0.8667,0.6691,1.0885,0.0174,0.0111,0.0288
substitution,none,mask_density_only,44,0.8739,0.4825,1.2138,0.0257,0.0155,0.0415
mask_feature,none,mask_density_only,44,0.8739,0.4746,1.2275,0.0257,0.0155,0.0424
common_floor,none,coordinates_only,44,1.6596,1.4337,2.7935,0.2317,0.1967,0.2473
substitution,none,coordinates_only,44,1.7716,1.5752,2.7941,0.2343,0.2007,0.2681
mask_feature,none,coordinates_only,44,1.7716,1.5752,2.9009,0.2343,0.2007,0.2651
