regime,representation,model,protocol,n_elements,r2_median,ci_low,ci_high
common_floor,ilr,ridge,blocked,44,0.7933,0.6679,0.8513
common_floor,ilr,ridge,loso,44,0.5347,0.2245,0.6353
common_floor,ilr,ridge,random,44,0.8061,0.6834,0.8751
common_floor,ilr,xgb_aft,blocked,44,0.7888,0.6803,0.8847
common_floor,ilr,xgb_aft,loso,44,0.413,-0.067,0.5261
common_floor,ilr,xgb_aft,random,44,0.8308,0.7137,0.9057
common_floor,ilr,xgb_regression,blocked,44,0.8334,0.6913,0.8885
common_floor,ilr,xgb_regression,loso,44,0.424,0.1995,0.5798
common_floor,ilr,xgb_regression,random,44,0.8586,0.7428,0.9094
common_floor,none,coordinates_only,blocked,44,0.2202,0.1246,0.3049
common_floor,none,coordinates_only,loso,44,-1.4252,-2.4722,-1.0363
common_floor,none,coordinates_only,random,44,0.4704,0.3813,0.516
common_floor,none,mask_density_only,blocked,44,-0.0162,-0.0818,0.0122
common_floor,none,mask_density_only,loso,44,-0.8322,-1.4655,-0.5275
common_floor,none,mask_density_only,random,44,0.0157,-0.0017,0.0577
common_floor,none,survey_mean,blocked,44,0.0906,-0.0141,0.1537
common_floor,none,survey_mean,loso,44,-0.7275,-1.2251,-0.3657
common_floor,none,survey_mean,random,44,0.0848,0.0161,0.161
mask_feature,ilr,ridge,blocked,44,0.7679,0.6604,0.8559
mask_feature,ilr,ridge,loso,44,-0.0456,-0.4028,0.0853
mask_feature,ilr,ridge,random,44,0.7955,0.6819,0.867
mask_feature,ilr,xgb_regression,blocked,44,0.8376,0.6987,0.8841
mask_feature,ilr,xgb_regression,loso,44,0.1566,-0.1729,0.4196
mask_feature,ilr,xgb_regression,random,44,0.8593,0.7499,0.9079
mask_feature,none,coordinates_only,blocked,44,0.2188,0.1452,0.2777
mask_feature,none,coordinates_only,loso,44,-1.5342,-2.305,-1.1084
mask_feature,none,coordinates_only,random,44,0.4704,0.3788,0.509
mask_feature,none,mask_density_only,blocked,44,-0.0162,-0.0818,0.0122
mask_feature,none,mask_density_only,loso,44,-0.8349,-1.4655,-0.5077
mask_feature,none,mask_density_only,random,44,0.0161,-0.0011,0.0577
mask_feature,none,survey_mean,blocked,44,0.0881,-0.0146,0.1541
mask_feature,none,survey_mean,loso,44,-0.7255,-1.2334,-0.3656
mask_feature,none,survey_mean,random,44,0.0805,0.0128,0.1475
substitution,clr,ridge,blocked,44,0.7533,0.6354,0.828
substitution,clr,ridge,loso,44,0.3965,0.1593,0.4993
substitution,clr,ridge,random,44,0.7781,0.6572,0.8464
substitution,clr,xgb_regression,blocked,44,0.8444,0.7128,0.8945
substitution,clr,xgb_regression,loso,44,0.1997,-0.2835,0.3421
substitution,clr,xgb_regression,random,44,0.8674,0.7557,0.9129
substitution,ilr,ridge,blocked,44,0.7533,0.6354,0.828
substitution,ilr,ridge,loso,44,0.3965,0.1568,0.5025
substitution,ilr,ridge,random,44,0.7781,0.6572,0.8466
substitution,ilr,xgb_regression,blocked,44,0.8367,0.6965,0.881
substitution,ilr,xgb_regression,loso,44,0.1815,-0.2427,0.419
substitution,ilr,xgb_regression,random,44,0.8581,0.7459,0.9064
substitution,none,coordinates_only,blocked,44,0.2188,0.1286,0.283
substitution,none,coordinates_only,loso,44,-1.5342,-2.2796,-1.1012
substitution,none,coordinates_only,random,44,0.4704,0.3786,0.5117
substitution,none,mask_density_only,blocked,44,-0.0162,-0.0779,0.0122
substitution,none,mask_density_only,loso,44,-0.8349,-1.4655,-0.4978
substitution,none,mask_density_only,random,44,0.0161,-0.0016,0.0577
substitution,none,survey_mean,blocked,44,0.0881,-0.0146,0.1444
substitution,none,survey_mean,loso,44,-0.7255,-1.2293,-0.3471
substitution,none,survey_mean,random,44,0.0805,0.0155,0.1475
substitution,raw,ridge,blocked,44,0.5234,0.3871,0.6057
substitution,raw,ridge,loso,44,-0.0831,-0.3538,0.1172
substitution,raw,ridge,random,44,0.5609,0.4177,0.6402
substitution,raw,xgb_regression,blocked,44,0.8484,0.7378,0.9097
substitution,raw,xgb_regression,loso,44,0.4604,0.1644,0.63
substitution,raw,xgb_regression,random,44,0.8756,0.7704,0.9264
