rep,disparity,auc_mask,r2_within,r2_loso,r2_loso_mask,mask_gain,r2_pooled,r2_pooled_mask,mask_gain_pooled,inflation,censor_rate
0,0.0,0.5005805555555556,0.03848504140807807,0.19940911708862852,0.19940911708862852,0.0,0.2161532843068955,0.2161532843068955,0.0,0.016744167218266992,0.05
1,0.0,0.4933067129629629,0.21129787989308557,0.27163635450343226,0.27163635450343226,0.0,0.29434060363728254,0.29434060363728254,0.0,0.022704249133850274,0.05
2,0.0,0.4966820601851852,0.3038814273761923,0.39035355307142405,0.39035355307142405,0.0,0.3671904483750351,0.3671904483750351,0.0,-0.023163104696388936,0.05
3,0.0,0.4892328703703704,0.19469570166366623,0.33499214490702933,0.33499214490702933,0.0,0.3557498899248841,0.3557498899248841,0.0,0.020757745017854767,0.05
4,0.0,0.5040724537037037,0.10417061920695336,0.12563288866870592,0.12563288866870592,0.0,0.15059777536973773,0.15059777536973773,0.0,0.024964886701031808,0.05
5,0.0,0.5095232638888889,0.20383218054091945,0.2623536314309939,0.2623536314309939,0.0,0.26973126840441186,0.26973126840441186,0.0,0.007377636973417978,0.05
6,0.0,0.5002707175925926,0.19348790835944962,0.34281910075373945,0.34281910075373945,0.0,0.31226230452144643,0.31226230452144643,0.0,-0.030556796232293015,0.05
7,0.0,0.49629930555555557,0.30408788905041695,0.40964795073881766,0.40964795073881766,0.0,0.36763509392774607,0.36763509392774607,0.0,-0.042012856811071586,0.05
8,0.0,0.5046467592592593,0.23771420502150475,0.40784948359114226,0.40784948359114226,0.0,0.37925266521778167,0.37925266521778167,0.0,-0.02859681837336059,0.05
9,0.0,0.4978793981481482,0.3387171826022023,0.4746851005391949,0.4746851005391949,0.0,0.4449895703068971,0.4449895703068971,0.0,-0.029695530232297762,0.05
10,0.0,0.4957425925925925,0.26738667178926334,0.3434723848238115,0.3434723848238115,0.0,0.39481563542821374,0.39481563542821374,0.0,0.05134325060440226,0.05
11,0.0,0.4953246527777777,0.22979648966809685,0.3153437535292529,0.3153437535292529,0.0,0.2721142409851275,0.2721142409851275,0.0,-0.04322951254412544,0.05
12,0.0,0.5003287037037037,0.13592616274317615,0.2338393862289435,0.2338393862289435,0.0,0.26006220078146525,0.26006220078146525,0.0,0.026222814552521734,0.05
13,0.0,0.5010474537037037,0.1167101879630642,0.2984142843595704,0.2984142843595704,0.0,0.35265835942828516,0.35265835942828516,0.0,0.05424407506871476,0.05
14,0.0,0.5072222222222221,0.0936254769283057,0.1832697728537941,0.1832697728537941,0.0,0.19126011699689716,0.19126011699689716,0.0,0.007990344143103068,0.05
15,0.0,0.5194177083333333,0.08609528385573606,0.3082670535912708,0.3082670535912708,0.0,0.3310101238144827,0.3310101238144827,0.0,0.02274307022321187,0.05
16,0.0,0.5012450231481481,0.3380201963213625,0.35111932339856977,0.35111932339856977,0.0,0.3203966690821951,0.3203966690821951,0.0,-0.030722654316374665,0.05
17,0.0,0.5074827546296296,0.1510387496245421,0.33584857926067213,0.33584857926067213,0.0,0.30406038496328913,0.30406038496328913,0.0,-0.031788194297383,0.05
18,0.0,0.4872673611111111,0.2657479390874823,0.3659807241365164,0.3659807241365164,0.0,0.3227823848290695,0.3227823848290695,0.0,-0.043198339307446876,0.05
19,0.0,0.5070857638888889,0.2781794538956863,0.2992412618455549,0.2992412618455549,0.0,0.33394192270015555,0.33394192270015555,0.0,0.03470066085460066,0.05
20,0.0,0.49443611111111113,0.35426719442544663,0.3905290188404601,0.3905290188404601,0.0,0.431826714716802,0.431826714716802,0.0,0.04129769587634191,0.05
21,0.0,0.5091324074074074,0.21476449337278936,0.27456871268942384,0.27456871268942384,0.0,0.2885050882060365,0.2885050882060365,0.0,0.013936375516612642,0.05
22,0.0,0.48542685185185186,0.09404184205390176,0.1690576603946352,0.1690576603946352,0.0,0.1582597014490903,0.1582597014490903,0.0,-0.010797958945544917,0.05
23,0.0,0.5013614583333333,0.2669238807447911,0.37787131887911307,0.37787131887911307,0.0,0.30892473049731306,0.30892473049731306,0.0,-0.06894658838180001,0.05
24,0.0,0.5009707175925925,0.38947072997913856,0.4206389659168307,0.4206389659168307,0.0,0.42320489266559824,0.42320489266559824,0.0,0.002565926748767544,0.05
25,0.0,0.5040603009259259,0.3236737664057102,0.33659913559084575,0.33659913559084575,0.0,0.35668295031167885,0.35668295031167885,0.0,0.020083814720833093,0.05
26,0.0,0.5035913194444445,0.3871951569147767,0.47130359662908483,0.47130359662908483,0.0,0.49717817659481833,0.49717817659481833,0.0,0.025874579965733502,0.05
27,0.0,0.5080668981481482,0.3387180374183312,0.34037515663743667,0.34037515663743667,0.0,0.3264273053770952,0.3264273053770952,0.0,-0.013947851260341482,0.05
28,0.0,0.4896024305555556,0.031194233677695138,0.28015084311594474,0.28015084311594474,0.0,0.2169091041776664,0.2169091041776664,0.0,-0.06324173893827834,0.05
29,0.0,0.49546979166666666,0.16968294642398662,0.29327836836840826,0.29327836836840826,0.0,0.3076359051240948,0.3076359051240948,0.0,0.014357536755686517,0.05
