target,lod_ratio,random,blocked,loso,inflation_random_minus_loso,regime,representation,is_primary_arm
Ag,33.333,-5.4018,-4.6003,-10.94,5.5382,common_floor,ilr,False
As,1.5,0.7078,0.6799,0.3455,0.3623,common_floor,ilr,False
Be,22.0,0.019,-0.1161,-0.713,0.732,common_floor,ilr,False
Bi,2.0,0.6858,0.6425,0.2535,0.4322,common_floor,ilr,False
Ca,7.143,0.886,0.8584,0.683,0.2031,common_floor,ilr,False
Cd,1.0,0.3215,0.2659,-1.1191,1.4405,common_floor,ilr,False
Ce,1.667,0.9413,0.9319,0.7357,0.2056,common_floor,ilr,False
Co,1.0,0.9287,0.9034,0.7954,0.1333,common_floor,ilr,False
Cr,2.0,0.8857,0.8615,0.564,0.3217,common_floor,ilr,False
Cs,50.0,-1.5741,-1.5893,-3.3464,1.7723,common_floor,ilr,False
Cu,2.5,0.7428,0.7016,0.4505,0.2923,common_floor,ilr,False
Fe,1.0,0.9135,0.8723,0.6419,0.2715,common_floor,ilr,False
Hg,1.0,0.4752,0.3929,0.0863,0.3889,common_floor,ilr,False
In,6.667,0.5092,0.4469,-0.4454,0.9546,common_floor,ilr,False
K,2.381,0.9646,0.9598,0.7264,0.2382,common_floor,ilr,False
La,5.0,0.9418,0.9328,0.805,0.1368,common_floor,ilr,False
Li,10.0,0.8551,0.838,0.1995,0.6556,common_floor,ilr,False
Mg,1.667,0.9045,0.8867,0.7986,0.1059,common_floor,ilr,False
Mn,7.8,0.7895,0.7518,0.5798,0.2097,common_floor,ilr,False
Mo,6.0,0.4573,0.3722,0.0071,0.4502,common_floor,ilr,False
Na,1.351,0.8814,0.8499,-0.7212,1.6026,common_floor,ilr,False
Nb,3.333,0.9512,0.9493,-0.0392,0.9904,common_floor,ilr,False
Ni,1.0,0.9107,0.9025,0.7289,0.1817,common_floor,ilr,False
P,2.273,0.7681,0.7262,0.2799,0.4882,common_floor,ilr,False
Pb,5.0,0.7815,0.731,0.508,0.2734,common_floor,ilr,False
Rb,1.0,0.9528,0.9384,0.5677,0.3851,common_floor,ilr,False
S,20.0,0.5376,0.501,-0.1841,0.7217,common_floor,ilr,False
Sb,8.0,0.0293,-0.1219,-2.8109,2.8402,common_floor,ilr,False
Sc,3.0,0.9477,0.9404,0.6861,0.2616,common_floor,ilr,False
Se,20.0,0.1275,-0.0035,-1.3032,1.4307,common_floor,ilr,False
Sn,2.0,0.7211,0.6866,0.3975,0.3236,common_floor,ilr,False
Sr,2.5,0.9227,0.9067,0.773,0.1496,common_floor,ilr,False
Te,5.0,-2.0072,-2.7733,-7.7273,5.7201,common_floor,ilr,False
Th,10.0,0.9114,0.8904,0.5987,0.3127,common_floor,ilr,False
Tl,5.0,0.7488,0.6809,-5.76,6.5088,common_floor,ilr,False
U,5.0,0.8256,0.7941,0.5162,0.3093,common_floor,ilr,False
V,10.0,0.9269,0.9007,0.8179,0.1091,common_floor,ilr,False
W,10.0,0.7142,0.6726,-0.2211,0.9353,common_floor,ilr,False
Zn,1.111,0.8621,0.8287,0.6391,0.223,common_floor,ilr,False
Ag,33.333,-8.7945,-9.7248,-29.031,20.2365,mask_feature,ilr,False
As,1.5,0.722,0.6833,-0.1729,0.8949,mask_feature,ilr,False
Be,22.0,0.2247,0.1329,-0.4703,0.695,mask_feature,ilr,False
Bi,2.0,0.7048,0.6438,0.0991,0.6056,mask_feature,ilr,False
Ca,7.143,0.8859,0.8587,0.5873,0.2986,mask_feature,ilr,False
Cd,1.0,0.3236,0.2335,-0.9841,1.3077,mask_feature,ilr,False
Ce,1.667,0.9319,0.9161,0.317,0.6148,mask_feature,ilr,False
Co,1.0,0.9266,0.9077,0.7456,0.181,mask_feature,ilr,False
Cr,2.0,0.8858,0.8534,0.4995,0.3864,mask_feature,ilr,False
Cs,50.0,-1.5498,-1.864,-3.3527,1.8029,mask_feature,ilr,False
Cu,2.5,0.7379,0.6838,0.0691,0.6689,mask_feature,ilr,False
Fe,1.0,0.915,0.8723,0.3969,0.5181,mask_feature,ilr,False
Hg,1.0,0.4759,0.3769,-0.6749,1.1508,mask_feature,ilr,False
In,6.667,0.5421,0.4805,-0.6904,1.2325,mask_feature,ilr,False
K,2.381,0.9616,0.9583,0.5583,0.4032,mask_feature,ilr,False
La,5.0,0.933,0.9235,0.6097,0.3233,mask_feature,ilr,False
Li,10.0,0.857,0.8437,-0.2441,1.1011,mask_feature,ilr,False
Mg,1.667,0.9048,0.8809,0.5499,0.3549,mask_feature,ilr,False
Mn,7.8,0.787,0.7447,0.4627,0.3243,mask_feature,ilr,False
Mo,6.0,0.4976,0.4016,-0.3768,0.8744,mask_feature,ilr,False
Na,1.351,0.8863,0.846,-0.1511,1.0374,mask_feature,ilr,False
Nb,3.333,0.9526,0.9472,-0.5618,1.5144,mask_feature,ilr,False
Ni,1.0,0.9076,0.8976,0.4709,0.4367,mask_feature,ilr,False
P,2.273,0.771,0.7234,-0.1588,0.9298,mask_feature,ilr,False
Pb,5.0,0.7696,0.7065,-0.8805,1.6501,mask_feature,ilr,False
Rb,1.0,0.9535,0.9406,0.6934,0.2601,mask_feature,ilr,False
S,20.0,0.5251,0.4408,0.0882,0.4369,mask_feature,ilr,False
Sb,8.0,0.0853,-0.0382,-1.2481,1.3334,mask_feature,ilr,False
Sc,3.0,0.9516,0.943,0.6478,0.3037,mask_feature,ilr,False
Se,20.0,0.1239,0.0264,-4.394,4.518,mask_feature,ilr,False
Sn,2.0,0.7152,0.684,0.3348,0.3804,mask_feature,ilr,False
Sr,2.5,0.923,0.9011,0.7028,0.2202,mask_feature,ilr,False
Te,5.0,-3.4262,-4.3492,-5.6734,2.2473,mask_feature,ilr,False
Th,10.0,0.9081,0.8841,0.214,0.6941,mask_feature,ilr,False
Tl,5.0,0.8013,0.7853,-5.0488,5.8501,mask_feature,ilr,False
U,5.0,0.8187,0.8013,0.3172,0.5015,mask_feature,ilr,False
V,10.0,0.9276,0.9115,0.733,0.1946,mask_feature,ilr,False
W,10.0,0.7302,0.6987,-1.4137,2.1439,mask_feature,ilr,False
Zn,1.111,0.8616,0.8316,0.0854,0.7762,mask_feature,ilr,False
Ag,33.333,-8.453,-8.5253,-20.6989,12.2459,substitution,clr,False
As,1.5,0.7282,0.703,0.3124,0.4158,substitution,clr,False
