regime,representation,model,protocol,n_elements,r2_median,ci_low,ci_high
common_floor,ilr,ridge,blocked,44,0.7933,0.6679,0.8513
common_floor,ilr,ridge,loso,44,0.5347,0.2245,0.6353
common_floor,ilr,ridge,random,44,0.8061,0.6834,0.8751
common_floor,ilr,xgb_regression,blocked,44,0.8334,0.6913,0.8885
common_floor,ilr,xgb_regression,loso,44,0.424,0.1995,0.5798
common_floor,ilr,xgb_regression,random,44,0.8586,0.7428,0.9094
mask_feature,ilr,ridge,blocked,44,0.7679,0.6604,0.8559
mask_feature,ilr,ridge,loso,44,-0.0456,-0.4028,0.0853
mask_feature,ilr,ridge,random,44,0.7955,0.6819,0.867
mask_feature,ilr,xgb_regression,blocked,44,0.8376,0.6987,0.8841
mask_feature,ilr,xgb_regression,loso,44,0.1566,-0.1729,0.4196
mask_feature,ilr,xgb_regression,random,44,0.8593,0.7499,0.9079
substitution,clr,ridge,blocked,44,0.7533,0.6354,0.828
substitution,clr,ridge,loso,44,0.3965,0.1593,0.4993
substitution,clr,ridge,random,44,0.7781,0.6572,0.8464
substitution,clr,xgb_regression,blocked,44,0.8444,0.7128,0.8945
substitution,clr,xgb_regression,loso,44,0.1997,-0.2835,0.3421
substitution,clr,xgb_regression,random,44,0.8674,0.7557,0.9129
substitution,ilr,ridge,blocked,44,0.7533,0.6354,0.828
substitution,ilr,ridge,loso,44,0.3965,0.1568,0.5025
substitution,ilr,ridge,random,44,0.7781,0.6572,0.8466
substitution,ilr,xgb_regression,blocked,44,0.8367,0.6965,0.881
substitution,ilr,xgb_regression,loso,44,0.1815,-0.2427,0.419
substitution,ilr,xgb_regression,random,44,0.8581,0.7459,0.9064
substitution,raw,ridge,blocked,44,0.5234,0.3871,0.6057
substitution,raw,ridge,loso,44,-0.0831,-0.3538,0.1172
substitution,raw,ridge,random,44,0.5609,0.4177,0.6402
substitution,raw,xgb_regression,blocked,44,0.8484,0.7378,0.9097
substitution,raw,xgb_regression,loso,44,0.4604,0.1644,0.63
substitution,raw,xgb_regression,random,44,0.8756,0.7704,0.9264
