experiment,arm,model,n_features,balanced_accuracy,balanced_accuracy_sd,macro_f1,kappa,no_information_rate,retention_disparity
E1b_full_mask,finding,gradient_boosting,44,0.9782,0.0088,0.9773,0.9672,0.5862,
E1a_mask_density,finding,gradient_boosting,1,0.6408,0.004,0.6006,0.6293,0.5862,
E1d_survival_k5,ceiling (feature set chosen by unavailability),logistic,1,0.479,0.0074,0.4674,0.3293,0.5862,
E1d_survival_k7,ceiling (feature set chosen by unavailability),logistic,1,0.4764,0.0078,0.4645,0.3236,0.5862,
E1d_survival_k9,ceiling (feature set chosen by unavailability),logistic,1,0.4759,0.0079,0.464,0.3226,0.5862,
E1d_survival_k12,ceiling (feature set chosen by unavailability),logistic,1,0.4724,0.0076,0.4601,0.3154,0.5862,
NULL_permuted_labels,finding,logistic,44,0.3339,0.0011,0.2491,0.0016,0.5862,
E1d_survival_random_k5,"finding (random feature sets, 200 draws per k)",survive_flag_closed_form,1,0.3693786006007558,,,,,2.7025723293449033
E1d_survival_random_k7,"finding (random feature sets, 200 draws per k)",survive_flag_closed_form,1,0.46551447109041244,,,,,3.470701157289515
E1d_survival_random_k9,"finding (random feature sets, 200 draws per k)",survive_flag_closed_form,1,0.46687587124591856,,,,,5.563153688038022
E1d_survival_random_k12,"finding (random feature sets, 200 draws per k)",survive_flag_closed_form,1,0.47297007394606094,,,,,14.21033699214305
