regime,representation,model,random,blocked,loso
common_floor,ilr,ridge,"+0.806 [+0.683, +0.875]","+0.793 [+0.668, +0.851]","+0.535 [+0.225, +0.635]"
common_floor,ilr,xgb_aft,"+0.831 [+0.714, +0.906]","+0.789 [+0.680, +0.885]","+0.413 [-0.067, +0.526]"
common_floor,ilr,xgb_regression,"+0.859 [+0.743, +0.909]","+0.833 [+0.691, +0.888]","+0.424 [+0.200, +0.580]"
common_floor,none,coordinates_only,"+0.470 [+0.381, +0.516]","+0.220 [+0.125, +0.305]","-1.425 [-2.472, -1.036]"
common_floor,none,mask_density_only,"+0.016 [-0.002, +0.058]","-0.016 [-0.082, +0.012]","-0.832 [-1.466, -0.527]"
common_floor,none,survey_mean,"+0.085 [+0.016, +0.161]","+0.091 [-0.014, +0.154]","-0.728 [-1.225, -0.366]"
mask_feature,ilr,ridge,"+0.795 [+0.682, +0.867]","+0.768 [+0.660, +0.856]","-0.046 [-0.403, +0.085]"
mask_feature,ilr,xgb_regression,"+0.859 [+0.750, +0.908]","+0.838 [+0.699, +0.884]","+0.157 [-0.173, +0.420]"
mask_feature,none,coordinates_only,"+0.470 [+0.379, +0.509]","+0.219 [+0.145, +0.278]","-1.534 [-2.305, -1.108]"
mask_feature,none,mask_density_only,"+0.016 [-0.001, +0.058]","-0.016 [-0.082, +0.012]","-0.835 [-1.466, -0.508]"
mask_feature,none,survey_mean,"+0.081 [+0.013, +0.147]","+0.088 [-0.015, +0.154]","-0.726 [-1.233, -0.366]"
substitution,clr,ridge,"+0.778 [+0.657, +0.846]","+0.753 [+0.635, +0.828]","+0.397 [+0.159, +0.499]"
substitution,clr,xgb_regression,"+0.867 [+0.756, +0.913]","+0.844 [+0.713, +0.894]","+0.200 [-0.283, +0.342]"
substitution,ilr,ridge,"+0.778 [+0.657, +0.847]","+0.753 [+0.635, +0.828]","+0.397 [+0.157, +0.502]"
substitution,ilr,xgb_regression,"+0.858 [+0.746, +0.906]","+0.837 [+0.697, +0.881]","+0.181 [-0.243, +0.419]"
substitution,none,coordinates_only,"+0.470 [+0.379, +0.512]","+0.219 [+0.129, +0.283]","-1.534 [-2.280, -1.101]"
substitution,none,mask_density_only,"+0.016 [-0.002, +0.058]","-0.016 [-0.078, +0.012]","-0.835 [-1.466, -0.498]"
substitution,none,survey_mean,"+0.081 [+0.015, +0.147]","+0.088 [-0.015, +0.144]","-0.726 [-1.229, -0.347]"
substitution,raw,ridge,"+0.561 [+0.418, +0.640]","+0.523 [+0.387, +0.606]","-0.083 [-0.354, +0.117]"
substitution,raw,xgb_regression,"+0.876 [+0.770, +0.926]","+0.848 [+0.738, +0.910]","+0.460 [+0.164, +0.630]"
